date,demand,units_sold,lost_sales,revenue
2024-11-19,5600,3992,1608,517829.0
2024-11-20,5865,3998,1867,444055.15
2024-11-21,5921,4148,1773,511381.7
2024-11-22,5993,4131,1862,459512.5
2024-11-23,7893,5104,2789,462475.35
2024-11-24,7556,4856,2700,500971.2
2024-11-25,5932,3984,1948,521456.2
2024-11-26,5891,3988,1903,530439.35
2024-11-27,5942,4063,1879,533995.8
2024-11-28,6098,4098,2000,531148.85
2024-11-29,5804,3799,2005,481073.05
2024-11-30,7646,4853,2793,572414.15
2024-12-01,8489,5660,2829,563822.65
2024-12-02,6649,4449,2200,434205.85
2024-12-03,6567,4219,2348,583264.55
2024-12-04,6864,4391,2473,510401.15
2024-12-05,6610,4287,2323,567070.8
2024-12-06,6604,4253,2351,566493.1
2024-12-07,8745,5732,3013,680045.7
2024-12-08,8656,5199,3457,586371.95
2024-12-09,6803,3805,2998,428646.45
2024-12-10,6564,3753,2811,376257.6
2024-12-11,6489,3898,2591,363040.65
2024-12-12,6809,4143,2666,370541.4
2024-12-13,6612,4509,2103,559612.8
2024-12-14,8635,5586,3049,679950.4
2024-12-15,8686,5651,3035,795110.75
2024-12-16,6672,4412,2260,550791.65
2024-12-17,6613,4395,2218,521878.1
2024-12-18,6712,4082,2630,457285.35
2024-12-19,6630,3894,2736,436825.5
2024-12-20,6517,4072,2445,502535.25
2024-12-21,8539,5451,3088,714869.25
2024-12-22,8741,5480,3261,704148.45
2024-12-23,6783,4155,2628,535411.15
2024-12-24,6651,4330,2321,502436.4
2024-12-25,6725,4668,2057,472588.85
2024-12-26,6322,3930,2392,350150.65
2024-12-27,6669,3888,2781,394182.1
2024-12-28,8559,5229,3330,771676.25
2024-12-29,8716,5565,3151,793498.8
2024-12-30,6759,3971,2788,476768.1
2024-12-31,6726,4453,2273,520135.85
