store,product,average_daily_demand,demand_std,annual_demand,unit_price,lead_time_days,reorder_point_existing,current_stock,safety_stock,calculated_rop,holding_cost_per_unit,eoq,inventory_status,recommended_order_qty,shortage_to_rop,category,supplier,average_lead_time,on_time_rate,defect_rate,total_supplier_delays,total_ordered,total_received,fill_rate,on_time_percentage,defect_percentage,fill_percentage,risk_score,risk_level,average_30_day_forecast,total_30_day_forecast,priority
Store_Delhi,Water Bottle,8,3,6121,10.0,9.0,195.0,83,15,90,2.0,1749,REORDER,1749,7,Home & Kitchen,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,MEDIUM
Store_Mumbai,Non-stick Pan,13,5,9387,35.0,7.0,164.0,108,20,110,7.0,1158,REORDER,1158,2,Home & Kitchen,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,MEDIUM
Store_Delhi,Biscuits,50,18,36484,5.0,5.0,177.0,314,65,315,1.0,6040,REORDER,6040,1,Groceries,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,MEDIUM
Store_Pune,Non-stick Pan,28,9,20222,35.0,7.0,125.0,231,39,232,7.0,1700,REORDER,1700,1,Home & Kitchen,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,MEDIUM
Store_Hyderabad,Lego Set,51,16,36996,40.0,5.0,123.0,313,60,313,8.0,2150,REORDER,2150,0,Toys,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,MEDIUM
Store_Bengaluru,Dinner Set,18,6,12832,50.0,8.0,139.0,285,29,169,10.0,1133,NORMAL,0,0,Home & Kitchen,Supplier_05,8.0,0.8599999999999999,0.06,71,177750,175834,0.9892208157524612,86.0,6.0,98.92,14.92,MEDIUM,4945,148342,LOW
Store_Bengaluru,Instant Noodles,20,7,14568,3.0,7.0,177.0,331,30,170,0.6000000000000001,4927,NORMAL,0,0,Groceries,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Bengaluru,Laptop,11,4,7837,1200.0,5.0,187.0,135,14,67,240.0,181,NORMAL,0,0,Electronics,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,LOW
Store_Bengaluru,Lego Set,30,10,22041,40.0,5.0,185.0,294,38,189,8.0,1660,NORMAL,0,0,Toys,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,LOW
Store_Bengaluru,Non-stick Pan,27,9,19577,35.0,7.0,142.0,266,39,227,7.0,1672,NORMAL,0,0,Home & Kitchen,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,LOW
Store_Bengaluru,Rice (5kg),21,7,15673,15.0,7.0,149.0,290,32,183,3.0,2286,NORMAL,0,0,Groceries,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Bengaluru,Smartphone,9,3,6752,800.0,7.0,138.0,293,14,78,160.0,205,NORMAL,0,0,Electronics,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Bengaluru,T-Shirt,28,10,20571,20.0,7.0,147.0,268,43,240,4.0,2268,NORMAL,0,0,Clothing,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Bengaluru,Water Bottle,12,4,8476,10.0,9.0,131.0,410,19,124,2.0,2059,NORMAL,0,0,Home & Kitchen,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,LOW
Store_Bengaluru,Yoga Mat,8,3,5630,30.0,9.0,181.0,253,15,84,6.0,969,NORMAL,0,0,Sports,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,LOW
Store_Delhi,Board Game,12,4,8867,25.0,7.0,173.0,110,19,104,5.0,1332,NORMAL,0,0,Toys,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Delhi,Dress,11,4,8347,80.0,8.0,179.0,122,20,111,16.0,722,NORMAL,0,0,Clothing,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,LOW
Store_Delhi,Instant Noodles,9,3,6885,3.0,7.0,195.0,279,14,80,0.6000000000000001,3387,NORMAL,0,0,Groceries,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Delhi,RC Car,6,2,4684,55.0,9.0,173.0,478,11,69,11.0,653,NORMAL,0,0,Toys,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,LOW
Store_Delhi,Smartwatch,13,4,9385,250.0,7.0,198.0,149,20,109,50.0,433,NORMAL,0,0,Electronics,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Delhi,Tablet,11,4,8367,400.0,7.0,179.0,227,17,97,80.0,323,NORMAL,0,0,Electronics,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,LOW
Store_Hyderabad,Badminton Set,12,4,8959,35.0,8.0,152.0,157,20,118,7.0,1131,NORMAL,0,0,Sports,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,LOW
Store_Hyderabad,Board Game,26,9,19177,25.0,7.0,129.0,343,39,222,5.0,1958,NORMAL,0,0,Toys,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Hyderabad,Doll,8,3,6150,15.0,8.0,196.0,336,14,81,3.0,1432,NORMAL,0,0,Toys,Supplier_05,8.0,0.8599999999999999,0.06,71,177750,175834,0.9892208157524612,86.0,6.0,98.92,14.92,MEDIUM,4945,148342,LOW
Store_Hyderabad,Football,6,2,4714,25.0,7.0,155.0,412,10,55,5.0,971,NORMAL,0,0,Sports,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Hyderabad,Instant Noodles,10,4,7371,3.0,7.0,147.0,207,16,86,0.6000000000000001,3505,NORMAL,0,0,Groceries,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Hyderabad,Jacket,10,4,7373,120.0,7.0,170.0,517,16,86,24.0,554,NORMAL,0,0,Clothing,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Hyderabad,Jeans,12,4,8431,60.0,7.0,135.0,127,17,98,12.0,838,NORMAL,0,0,Clothing,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,LOW
Store_Hyderabad,Rice (5kg),12,4,8446,15.0,7.0,136.0,331,18,98,3.0,1678,NORMAL,0,0,Groceries,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Hyderabad,Shoes,18,6,13279,90.0,8.0,158.0,264,28,173,18.0,859,NORMAL,0,0,Clothing,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,LOW
Store_Hyderabad,Smartphone,17,6,12637,800.0,7.0,125.0,238,27,148,160.0,281,NORMAL,0,0,Electronics,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Hyderabad,Smartwatch,10,3,7132,250.0,7.0,179.0,201,14,82,50.0,378,NORMAL,0,0,Electronics,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Mumbai,Badminton Set,7,3,5318,35.0,8.0,120.0,291,12,70,7.0,872,NORMAL,0,0,Sports,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,LOW
Store_Mumbai,Jacket,22,7,16237,120.0,7.0,181.0,256,32,187,24.0,823,NORMAL,0,0,Clothing,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Mumbai,Jeans,8,3,5646,60.0,7.0,193.0,302,12,66,12.0,686,NORMAL,0,0,Clothing,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,LOW
Store_Mumbai,Laptop,9,3,6487,1200.0,5.0,179.0,524,12,56,240.0,164,NORMAL,0,0,Electronics,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,LOW
Store_Mumbai,Pressure Cooker,22,8,16015,45.0,7.0,183.0,395,34,187,9.0,1334,NORMAL,0,0,Home & Kitchen,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Mumbai,Puzzle,30,10,22207,20.0,7.0,154.0,263,44,256,4.0,2356,NORMAL,0,0,Toys,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Mumbai,Tablet,29,10,20961,400.0,7.0,130.0,349,42,242,80.0,512,NORMAL,0,0,Electronics,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,LOW
Store_Mumbai,Tea Packets,13,4,9374,8.0,7.0,143.0,349,19,109,1.6,2420,NORMAL,0,0,Groceries,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Mumbai,Yoga Mat,7,3,5294,30.0,9.0,180.0,346,13,78,6.0,939,NORMAL,0,0,Sports,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,LOW
Store_Pune,Biscuits,15,5,10658,5.0,5.0,139.0,483,18,91,1.0,3265,NORMAL,0,0,Groceries,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,LOW
Store_Pune,Cooking Oil,7,3,5151,12.0,8.0,194.0,283,12,69,2.4000000000000004,1465,NORMAL,0,0,Groceries,Supplier_06,8.0,0.88,0.02,127,316265,311411,0.9846521113623068,88.0,2.0,98.47,8.26,LOW,4945,148342,LOW
Store_Pune,Laptop,14,5,10283,1200.0,5.0,125.0,96,18,88,240.0,207,NORMAL,0,0,Electronics,Supplier_03,5.0,0.8599999999999999,0.04,183,444005,438567,0.9877523901757864,86.0,4.0,98.78,11.97,MEDIUM,4945,148342,LOW
Store_Pune,Puzzle,6,2,4706,20.0,7.0,176.0,252,10,55,4.0,1085,NORMAL,0,0,Toys,Supplier_07,7.0,0.9399999999999998,0.05,92,503241,498483,0.9905452854596506,94.0,5.0,99.05,10.18,MEDIUM,4945,148342,LOW
Store_Pune,RC Car,13,5,9867,55.0,9.0,190.0,315,23,145,11.0,947,NORMAL,0,0,Toys,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,LOW
Store_Pune,Smartwatch,16,6,12041,250.0,7.0,164.0,248,24,139,50.0,491,NORMAL,0,0,Electronics,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Pune,T-Shirt,8,3,6152,20.0,7.0,149.0,251,14,73,4.0,1240,NORMAL,0,0,Clothing,Supplier_04,7.0,0.93,0.06,101,485834,478986,0.985904650559656,93.0,6.0,98.59,12.22,MEDIUM,4945,148342,LOW
Store_Pune,Tablet,7,2,4970,400.0,7.0,160.0,304,10,58,80.0,249,NORMAL,0,0,Electronics,Supplier_08,7.0,0.91,0.03,59,228630,225032,0.9842627826619428,91.0,3.0,98.43,8.57,LOW,4945,148342,LOW
Store_Pune,Water Bottle,18,6,12891,10.0,9.0,127.0,198,30,189,2.0,2539,NORMAL,0,0,Home & Kitchen,Supplier_01,9.0,0.96,0.02,25,190978,187761,0.9831551278157692,96.0,2.0,98.32,5.11,LOW,4945,148342,LOW
